"","V1","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","siteID"
"1","speciesID",2,2,2,2,2,2,2,2,2,2,2,"JO101"
"2","age",0,0,0,0,0,0,0,0,0,0,0,"JO101"
"3","H",7.758316306,12.41260719,15.79500491,18.73007457,20.73828955,22.94633657,NA,NA,NA,NA,NA,"JO101"
"4","DBH",8.390129303,12.68769084,17.15685206,22.32961575,26.75226314,32.67306586,NA,NA,NA,NA,NA,"JO101"
"5","BA",0.423638861,3.034925766,3.9210267,2.94552782,3.16927303,2.104803264,NA,NA,NA,NA,NA,"JO101"
"6","Hc",4.118253442,5.732826225,6.89649315,7.537013913,8.058454445,8.237837425,NA,NA,NA,NA,NA,"JO101"
"7","Ac",0.005362518,0.012492635,0.022949714,0.038987704,0.056056632,0.083906131,NA,NA,NA,NA,NA,"JO101"
"8","speciesID",2,2,2,2,2,2,2,2,2,2,2,"JO124"
"9","age",0,0,0,0,0,0,0,0,0,0,0,"JO124"
"10","H",5.362688937,13.39197818,17.43159634,20.22707204,23.04922666,24.55988194,NA,NA,NA,NA,NA,"JO124"
"11","DBH",7.00221432,13.0503171,17.91669067,22.32195878,27.85388735,31.39850083,NA,NA,NA,NA,NA,"JO124"
"12","BA",0.696515635,1.434387392,4.59650839,6.878045876,2.670206493,1.455887667,NA,NA,NA,NA,NA,"JO124"
"13","Hc",1.421663996,6.557151994,7.534538594,8.107534876,8.574284969,8.710709354,NA,NA,NA,NA,NA,"JO124"
"14","Ac",0.003694089,0.013214117,0.025074046,0.039017119,0.060747291,0.077361342,NA,NA,NA,NA,NA,"JO124"
"15","speciesID",2,2,2,2,2,2,2,2,2,2,2,"JO135"
"16","age",0,0,0,0,0,0,0,0,0,0,0,"JO135"
"17","H",5.031788609,12.17498929,17.38539572,21.26574507,23.80441179,25.96690112,27.72460073,NA,NA,NA,NA,"JO135"
"18","DBH",7.811330173,12.54571714,17.72857279,22.96668563,27.13867039,31.34677017,35.24996454,NA,NA,NA,NA,"JO135"
"19","BA",0.216455734,0.832679133,3.58655562,5.553882026,2.572074265,0.857497715,1.084338158,NA,NA,NA,NA,"JO135"
"20","Hc",0.266417328,5.579049167,6.947857883,8.218029178,8.5898809,9.011553495,9.274059335,NA,NA,NA,NA,"JO135"
"21","Ac",0.004584254,0.012204187,0.024544,0.041368115,0.057585671,0.076888794,0.097304434,NA,NA,NA,NA,"JO135"
"22","speciesID",2,2,2,2,2,2,2,2,2,2,2,"JO144"
"23","age",0,0,0,0,0,0,0,0,0,0,0,"JO144"
"24","H",6.668095738,13.46160018,17.81844673,21.08146577,23.98844766,25.91292001,NA,NA,NA,NA,NA,"JO144"
"25","DBH",8.299295115,13.09175095,17.62301062,22.03377962,26.9387885,30.73824979,NA,NA,NA,NA,NA,"JO144"
"26","BA",0.497418837,2.42619092,6.819655886,3.396489264,3.173427459,0.824528445,NA,NA,NA,NA,NA,"JO144"
"27","Hc",NA,6.472859166,7.605608921,8.203016633,8.956545549,9.440017967,NA,NA,NA,NA,NA,"JO144"
"28","Ac",0.005309962,0.013361324,0.024264761,0.037924504,0.056835694,0.07392156,NA,NA,NA,NA,NA,"JO144"
"29","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA06B"
"30","age",0,0,0,0,0,0,0,0,0,0,0,"PA06B"
"31","H",6.1107931,12.22235975,17.44795066,21.86535404,24.5121541,26.60578093,28.20480439,29.98326314,NA,NA,NA,"PA06B"
"32","DBH",7.798185213,11.80366705,17.01137396,23.19128708,27.92179482,32.35954114,36.19791896,41.03388843,NA,NA,NA,"PA06B"
"33","BA",0.156250056,0.554864167,0.859009606,2.91603121,6.135231019,6.692878442,1.286570549,0.826523575,NA,NA,NA,"PA06B"
"34","Hc",2.00901131,5.309452399,7.549635498,8.426167645,8.887579149,9.267362734,9.610311483,9.967186503,NA,NA,NA,"PA06B"
"35","Ac",0.004714002,0.010811283,0.022620923,0.042128999,0.06106631,0.082087889,0.102639644,0.131957772,NA,NA,NA,"PA06B"
"36","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA121"
"37","age",0,0,0,0,0,0,0,0,0,0,0,"PA121"
"38","H",6.181847517,13.19719934,17.33730614,20.00095133,22.65140958,24.44032414,26.21822244,28.21727831,29.18756208,30.84625303,NA,"PA121"
"39","DBH",7.553548062,13.09799133,18.23137581,22.57478344,27.90411757,32.19079555,37.12468068,43.56811369,47.09479801,53.8,NA,"PA121"
"40","BA",0.314149841,0.542754113,1.048255221,1.9284855,5.148614828,5.865497998,3.033415052,1.192730784,0.696780118,0.909315144,NA,"PA121"
"41","Hc",1.728032705,6.090253876,7.1666951,7.986778921,8.467670321,8.718492735,9.022987489,9.567315914,9.379950561,9.968817178,NA,"PA121"
"42","Ac",0.004333851,0.013282853,0.025920381,0.039890781,0.061007034,0.08117925,0.108050252,0.148805348,0.173909029,0.227042786,NA,"PA121"
"43","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA123"
"44","age",0,0,0,0,0,0,0,0,0,0,0,"PA123"
