"SiteID","layerID","SimYear","nvar","Value","sd"
"JO101","1","5","11","7.7583163058912","0.5"
"JO101","2","5","11","12.4126071855909","0.5"
"JO101","3","5","11","15.795004913362","0.5"
"JO101","4","5","11","18.730074566287","0.5"
"JO101","5","5","11","20.7382895497807","0.5"
"JO101","6","5","11","22.9463365742175","0.5"
"JO101","7","5","11",NA,"0.5"
"JO101","8","5","11",NA,"0.5"
"JO101","9","5","11",NA,"0.5"
"JO101","10","5","11",NA,"0.5"
"JO101","11","5","11",NA,"0.5"
"JO101","1","18","11","7.90916559289301","0.5"
"JO101","2","18","11","12.9412768261637","0.5"
"JO101","3","18","11","16.5479680962244","0.5"
"JO101","4","18","11","19.5602818155079","0.5"
"JO101","5","18","11","21.3248696926731","0.5"
"JO101","6","18","11","23.4128424908766","0.5"
"JO101","7","18","11",NA,"0.5"
"JO101","8","18","11",NA,"0.5"
"JO101","9","18","11",NA,"0.5"
"JO101","10","18","11",NA,"0.5"
"JO101","11","18","11",NA,"0.5"
"JO101","1","30","11","9.10875249601943","0.5"
"JO101","2","30","11","13.545181610511","0.5"
"JO101","3","30","11","17.2347147522282","0.5"
"JO101","4","30","11","20.2380392264287","0.5"
"JO101","5","30","11","21.9107987408329","0.5"
"JO101","6","30","11","23.9023307835565","0.5"
"JO101","7","30","11",NA,"0.5"
"JO101","8","30","11",NA,"0.5"
"JO101","9","30","11",NA,"0.5"
"JO101","10","30","11",NA,"0.5"
"JO101","11","30","11",NA,"0.5"
"JO101","1","5","12","8.39012930296239","0.5"
"JO101","2","5","12","12.6876908393718","0.5"
"JO101","3","5","12","17.1568520604928","0.5"
"JO101","4","5","12","22.3296157542709","0.5"
"JO101","5","5","12","26.7522631421974","0.5"
"JO101","6","5","12","32.6730658555426","0.5"
"JO101","7","5","12",NA,"0.5"
"JO101","8","5","12",NA,"0.5"
"JO101","9","5","12",NA,"0.5"
"JO101","10","5","12",NA,"0.5"
"JO101","11","5","12",NA,"0.5"
"JO101","1","18","12","8.54880091439015","0.5"
"JO101","2","18","12","13.3217739867428","0.5"
