"SiteID","layerID","SimYear","nvar","Value","sd"
"JO101","1","5","11","12.8732987192717","0.5"
"JO101","1","18","11","13.4217356507402","0.5"
"JO101","1","30","11","14.147522460543","0.5"
"JO101","2","5","11","19.5907381306414","0.5"
"JO101","2","18","11","20.3165337628644","0.5"
"JO101","2","30","11","20.9549361611734","0.5"
"JO101","3","5","11","22.9463365742175","0.5"
"JO101","3","18","11","23.4128424908766","0.5"
"JO101","3","30","11","23.9023307835565","0.5"
"JO101","1","5","12","13.5850494696751","0.5"
"JO101","1","18","12","14.3492432589103","0.5"
"JO101","1","30","12","15.3671324581787","0.5"
"JO101","2","5","12","24.2250360633823","0.5"
"JO101","2","18","12","25.8484052085734","0.5"
"JO101","2","30","12","27.3896397186168","0.5"
"JO101","3","5","12","32.6730658555426","0.5"
"JO101","3","18","12","34.059323365767","0.5"
"JO101","3","30","12","35.5970951197517","0.5"
"JO101","1","5","13","7.37959132580538","0.5"
"JO101","1","18","13","8.29856608184265","0.5"
"JO101","1","30","13","9.56566857380584","0.5"
"JO101","2","5","13","6.11480084968569","0.5"
"JO101","2","18","13","6.95481363787039","0.5"
"JO101","2","30","13","7.81536949676646","0.5"
"JO101","3","5","13","2.10480326430439","0.5"
"JO101","3","18","13","2.28494905929515","0.5"
"JO101","3","30","13","2.49616226038681","0.5"
"JO101","1","5","14","5.84577824414863","0.5"
"JO101","1","18","14","5.90326660458363","0.5"
"JO101","1","30","14","5.98649846371899","0.5"
"JO101","2","5","14","6.7577435911136","0.5"
"JO101","2","18","14","6.8441972766116","0.5"
"JO101","2","30","14","6.9171582268337","0.5"
"JO101","3","5","14","7.22659260540195","0.5"
"JO101","3","18","14","7.28080197607704","0.5"
"JO101","3","30","14","7.33746334384527","0.5"
"JO101","1","5","17","481.25","0.5"
"JO101","1","18","17","481.25","0.5"
"JO101","1","30","17","481.25","0.5"
"JO101","2","5","17","131.25","0.5"
"JO101","2","18","17","131.25","0.5"
"JO101","2","30","17","131.25","0.5"
"JO101","3","5","17","25","0.5"
"JO101","3","18","17","25","0.5"
"JO101","3","30","17","25","0.5"
"JO101","1","5","30","62.4517101058224","0.5"
"JO101","1","18","30","71.3995824853298","0.5"
"JO101","1","30","30","83.8464031111239","0.5"
"JO101","2","5","30","58.9876562006802","0.5"
"JO101","2","18","30","67.9724503640378","0.5"
"JO101","2","30","30","77.277329050735","0.5"
"JO101","3","5","30","21.7163289459022","0.5"
"JO101","3","18","30","23.7488379512859","0.5"
"JO101","3","30","30","26.1540819838516","0.5"
"JO101","1","5","31","10960.2751235718","0.5"
"JO101","1","18","31","12530.6267261754","0.5"
"JO101","1","30","31","14715.0437460023","0.5"
"JO101","2","5","31","10352.3336632194","0.5"
"JO101","2","18","31","11929.1650388886","0.5"
"JO101","2","30","31","13562.171248404","0.5"
"JO101","3","5","31","3811.21573000583","0.5"
"JO101","3","18","31","4167.92106045068","0.5"
"JO101","3","30","31","4590.04138816596","0.5"
"JO124","1","6","11","11.842086316726","0.5"
"JO124","1","18","11","12.7508113374756","0.5"
"JO124","1","30","11","14.0296446702942","0.5"
"JO124","2","6","11","20.7379309925013","0.5"
"JO124","2","18","11","21.5164757065275","0.5"
"JO124","2","30","11","22.4595869762747","0.5"
"JO124","3","6","11","24.5598819430997","0.5"
"JO124","3","18","11","25.4396585871078","0.5"
"JO124","3","30","11","26.5019323751501","0.5"
"JO124","1","6","12","12.5685126163699","0.5"
"JO124","1","18","12","13.3884303827635","0.5"
"JO124","1","30","12","14.6726289497536","0.5"
"JO124","2","6","12","23.333112701248","0.5"
"JO124","2","18","12","24.8310605486031","0.5"
"JO124","2","30","12","26.7851540541495","0.5"
"JO124","3","6","12","31.398500829405","0.5"
"JO124","3","18","12","33.682287782107","0.5"
"JO124","3","30","12","36.6314454913313","0.5"
"JO124","1","6","13","6.53106187628634","0.5"
"JO124","1","18","13","7.33759706775623","0.5"
"JO124","1","30","13","8.69361154055453","0.5"
"JO124","2","6","13","9.74460191038186","0.5"
"JO124","2","18","13","11.0496882210224","0.5"
"JO124","2","30","13","12.8857920474129","0.5"
"JO124","3","6","13","1.45588766675133","0.5"
"JO124","3","18","13","1.6780620809609","0.5"
"JO124","3","30","13","1.98515767158783","0.5"
"JO124","1","6","14","4.64898208800374","0.5"
"JO124","1","18","14","5.12189320861674","0.5"
"JO124","1","30","14","5.72982310411117","0.5"
"JO124","2","6","14","7.92334919216869","0.5"
"JO124","2","18","14","8.30160828522645","0.5"
"JO124","2","30","14","8.75615941751336","0.5"
"JO124","3","6","14","9.2930131124822","0.5"
"JO124","3","18","14","9.6973676171474","0.5"
"JO124","3","30","14","10.2100416073297","0.5"
"JO124","1","6","17","456.25","0.5"
"JO124","1","18","17","456.25","0.5"
"JO124","1","30","17","456.25","0.5"
"JO124","2","6","17","225","0.5"
"JO124","2","18","17","225","0.5"
"JO124","2","30","17","225","0.5"
"JO124","3","6","17","18.75","0.5"
"JO124","3","18","17","18.75","0.5"
"JO124","3","30","17","18.75","0.5"
"JO124","1","6","30","55.05354084729","0.5"
"JO124","1","18","30","65.4050087996429","0.5"
"JO124","1","30","30","83.0722900958777","0.5"
"JO124","2","6","30","111.371023685516","0.5"
"JO124","2","18","30","132.552041730653","0.5"
"JO124","2","30","30","163.458778006824","0.5"
"JO124","3","6","30","19.3226936755129","0.5"
"JO124","3","18","30","23.2958263538219","0.5"
"JO124","3","30","30","29.0312277783518","0.5"
"JO124","1","6","31","9661.89641869939","0.5"
"JO124","1","18","31","11478.5790443373","0.5"
"JO124","1","30","31","14579.1869118265","0.5"
"JO124","2","6","31","19545.614656808","0.5"
"JO124","2","18","31","23262.8833237296","0.5"
"JO124","2","30","31","28687.0155401975","0.5"
"JO124","3","6","31","3391.13274005251","0.5"
"JO124","3","18","31","4088.41752509575","0.5"
"JO124","3","30","31","5094.98047510074","0.5"
"JO135","1","7","11","13.8777058462577","0.5"
"JO135","1","18","11","14.5788942173482","0.5"
"JO135","1","30","11","15.5919086018689","0.5"
"JO135","2","7","11","21.9004117506882","0.5"
"JO135","2","18","11","22.7863014981811","0.5"
"JO135","2","30","11","23.9006872834102","0.5"
"JO135","3","7","11","26.8457509235576","0.5"
"JO135","3","18","11","27.6479327262905","0.5"
"JO135","3","30","11","28.5734892563548","0.5"
"JO135","1","7","12","14.6517856454272","0.5"
"JO135","1","18","12","15.4652818488859","0.5"
"JO135","1","30","12","16.611868633943","0.5"
"JO135","2","7","12","24.0096818165693","0.5"
"JO135","2","18","12","25.4863704863145","0.5"
"JO135","2","30","12","27.4673724882321","0.5"
"JO135","3","7","12","33.2983673537705","0.5"
"JO135","3","18","12","35.1487137756746","0.5"
"JO135","3","30","12","37.3995347483948","0.5"
"JO135","1","7","13","4.6356904864058","0.5"
"JO135","1","18","13","5.22342138536863","0.5"
"JO135","1","30","13","6.07961882987323","0.5"
"JO135","2","7","13","8.12595629131276","0.5"
"JO135","2","18","13","9.16568383331082","0.5"
"JO135","2","30","13","10.6567971531059","0.5"
"JO135","3","7","13","1.94183587247637","0.5"
"JO135","3","18","13","2.16588378855488","0.5"
"JO135","3","30","13","2.45349659599103","0.5"
"JO135","1","7","14","4.59037587573964","0.5"
"JO135","1","18","14","4.97269057200418","0.5"
"JO135","1","30","14","5.48621405244451","0.5"
"JO135","2","7","14","7.43873143138105","0.5"
"JO135","2","18","14","7.84188814360039","0.5"
"JO135","2","30","14","8.35070343154409","0.5"
"JO135","3","7","14","8.76686793263376","0.5"
"JO135","3","18","14","9.15119103979191","0.5"
"JO135","3","30","14","9.59414561991719","0.5"
"JO135","1","7","17","255.555555555556","0.5"
"JO135","1","18","17","255.555555555556","0.5"
"JO135","1","30","17","255.555555555556","0.5"
"JO135","2","7","17","177.777777777778","0.5"
"JO135","2","18","17","177.777777777778","0.5"
"JO135","2","30","17","177.777777777778","0.5"
"JO135","3","7","17","22.2222222222222","0.5"
"JO135","3","18","17","22.2222222222222","0.5"
"JO135","3","30","17","22.2222222222222","0.5"
"JO135","1","7","30","33.6159879288855","0.5"
"JO135","1","18","30","41.2601980002003","0.5"
"JO135","1","30","30","52.9788977947066","0.5"
"JO135","2","7","30","86.5700993213555","0.5"
"JO135","2","18","30","103.127744009145","0.5"
"JO135","2","30","30","128.054748861628","0.5"
"JO135","3","7","30","24.3454721517464","0.5"
"JO135","3","18","30","28.3771688365235","0.5"
"JO135","3","30","30","33.7225041645891","0.5"
"JO135","1","7","31","5899.6058815194","0.5"
"JO135","1","18","31","7241.16474903515","0.5"
"JO135","1","30","31","9297.796562971","0.5"
"JO135","2","7","31","15193.0524308979","0.5"
"JO135","2","18","31","18098.9190736049","0.5"
"JO135","2","30","31","22473.6084252156","0.5"
"JO135","3","7","31","4272.6303626315","0.5"
"JO135","3","18","31","4980.19313080987","0.5"
"JO135","3","30","31","5918.29948088539","0.5"
"JO144","1","7","11","14.5753374894124","0.5"
